Number,Question,Potential Answer,Correct Answer,Ground Truth,Location,Type
19,Statistics does not include the science of interpreting data.,True/False,False,"Statistics is the science of collecting, organizing, presenting, analyzing, and interpreting data to assist in making more effective decisions.",Page 3,True/False
20,Inferential statistics do not allow us to make decisions based on a sample.,True/False,False,Inferential statistics make decisions based on a limited set of data,Page 5,True/False
21,Inferential statistics cannot be used to estimate characteristics of the population.,True/False,False,Inferential statistics are specifically used to estimate characteristics of a population based on a sample.,Page 5,True/False
22,Collecting data from a sample is often less time-consuming and costly than surveying the entire population.,True/False,True,Collecting data from a sample is often less time-consuming and costly than surveying the entire population.,Page 5,True/False
23,The entire set of measurements obtained from all individuals or objects of interest is called a sample.,True/False,False,"Sample is a portion, or part, of the population of interest",Page 5,True/False
24,"Inferential statistics cannot be applied to fields like business, agriculture, politics, and government.",True/False,False,"Inferential statistics is widely applied to learn something about a population in business, agriculture, politics, and governmentnt",Page 6,True/False
25,Inferential statistics is used to draw conclusions about a population based on evidence from a sample.,True/False,True,Inferential statistics consist of methods used to estimate a property of a population on the basis of a sample.,Page 5,True/False
26,Using a sample to reach an inference about a population is a method used in inferential statistics.,True/False,True,"Sample is a portion, or part, of the population of interest",Page 5,True/False
27,"Inferential statistics is the process of organizing, summarizing, and presenting data in an informative way.",True/False,False,Inferential statistics is the process of using a sample to estimate properties of a population,Page 5,True/False
28,Discrete variables can only assume certain values and have gaps between these values.,True/False,True,"Discrete variables can assume only certain values, and there are “gaps” between the values.",Page 7,True/False
29,Continuous variables are typically measured.,True/False,True,"Typically, continuous variables result from measuring.",Page 7,True/False
30,Continuous variables have gaps between possible values.,True/False,False,Observations of a continuous variable can assume any value within a specific range,Page 7,True/False
31,Data can be classified according to levels of measurement.,True/False,True,Data can be classified according to levels of measurement.,Page 7,True/False
32,The nominal level of measurement is the highest level of measurement.,True/False,False,"The nominal level of measurement is the lowest level of measurement, not the highest. The highest level of measurement is the ratio level.",Page 7,True/False
33,Observations of a qualitative variable measured at the nominal level are recorded as labels or names.,True/False,True,"For the nominal level of measurement, observations of a qualitative variable are measured and recorded as labels or names.",page 7,True/False
34,Labels or names in nominal-level data have a specific order.,True/False,False,Data recorded at the nominal level of measurement are represented as labels or names. They have no order.,Page 8,True/False
35,Interval-level data is the most primitive level of measurement.,True/False,False,"The lowest, or the most primitive, measurement is the nominal level.",page 7,True/False
36,The ratio level of measurement is the highest level of measurement.,True/False,True,The highest is the ratio level of measurement.,page 7,True/False
37,The type of statistical analysis that can be performed is not influenced by the level of measurement.,True/False,False,Different levels of measurement allow for different types of statistical analyses.,page 7,True/False
38,The ordinal level of measurement involves ranking or rating a qualitative variable or attribute on a relative scale.,True/False,True,The next higher level of measurement is the ordinal level. For this level of measurement a qualitative variable or attribute is either ranked or rated on a relative scale.,Page 8,True/False
39,Data recorded at the ordinal level of measurement are based on a relative ranking or rating of items.,True/False,True,Data recorded at the ordinal level of measurement is based on a relative ranking or rating of items based on a defined attribute or qualitative variable. Variables based on this level of measurement are only ranked or counted.,Page 8,True/False
40,The interval level of measurement does not include the characteristics of the ordinal level.,True/False,False,"The interval level of measurement is the next highest level, which includes all the characteristics of the ordinal level.",Page 9,True/False
41,The interval level of measurement is based on a scale with a known unit of measurement.,True/False,True,The interval level of measurement is based on a scale with a known unit of measurement.,Page 9,True/False
42,"At the interval level of measurement, the interval or distance between values is not meaningful.",True/False,False,"For data recorded at the interval level of measurement, the interval or the distance between values is meaningful.",Page 9,True/False
43,Almost all quantitative variables are recorded at the ratio level of measurement.,True/False,True,Almost all quantitative variables are recorded on the ratio level of measurement. The ratio level is the “highest” level of measurement.,Page 10,True/False
44,The ratio level of measurement does not include a meaningful interpretation of zero.,True/False,False,"It has all the characteristics of the interval level, but, in addition, the 0 point and the ratio between two numbers are both meaningful.",Page 10,True/False
45,The ratio level of measurement is considered the highest level of measurement.,True/False,True,Almost all quantitative variables are recorded on the ratio level of measurement. The ratio level is the “highest” level of measurement.,Page 10,True/False
46,Descriptive statistics help to identify where values tend to concentrate and expose extreme data values.,True/False,True,"Descriptive statistics organize data to show the general pattern of the data, to identify where values tend to concentrate, and to expose extreme or unusual data values.",Page 20,True/False
47,A frequency table is used to group qualitative data into mutually exclusive and collectively exhaustive classes.,True/False,True,Frequency table is a grouping of qualitative data into mutually exclusive and collectively exhaustive classes showing the number of observations in each class.,Page 20,True/False
48,Frequency tables show the number of observations in each class.,True/False,True,Frequency table is a grouping of qualitative data into mutually exclusive and collectively exhaustive classes showing the number of observations in each class.,Page 20,True/False
49,A frequency table can include overlapping classes.,True/False,False,Frequency table is a grouping of qualitative data into mutually exclusive and collectively exhaustive classes showing the number of observations in each class.,Page 20,True/False
50,Frequency tables are used to describe quantitative data.,True/False,False,Frequency table is a grouping of qualitative data into mutually exclusive and collectively exhaustive classes showing the number of observations in each class.,Page 20,True/False
51,Descriptive statistics can expose extreme or unusual data values.,True/False,True,"Descriptive statistics organize data to show the general pattern of the data, to identify where values tend to concentrate, and to expose extreme or unusual data values.",Page 20,True/False
52,Relative class frequencies are not useful for understanding the distribution of data.,True/False,False,"Relative class frequencies are indeed useful for understanding the distribution of data as they provide insight into the proportion of observations in each class relative to the total number of observations, aiding in understanding the distribution pattern.",Page 21,True/False
53,Relative frequencies are not influenced by the total number of observations.,True/False,False,"Relative frequencies are influenced by the total number of observations because they represent the proportion of observations in each class relative to the total number of observations. Therefore, changes in the total number of observations will affect the relative frequencies.",Page 21,True/False
54,Converting class frequencies to relative class frequencies does not change the total number of observations.,True/False,True,Converting class frequencies to relative class frequencies does not change the total number of observations.,Page 21,True/False
55,Frequency distributions show the percentage of observations in each class.,True/False,False,"Frequency distributions show the number of observations in each class, not the percentage.",Page 27,True/False
56,Frequency distributions only apply to qualitative data.,True/False,False,Frequency distribution is a grouping of quantitative data into mutually exclusive and collectively exhaustive classes showing the number of observations in each class.,Page 27,True/False
57,Each class in a frequency distribution must contain the same number of observations.,True/False,False,"In a frequency distribution, classes do not need to contain the same number of observations. They can have varying frequencies depending on the distribution of the data.",Page 27,True/False
58,A frequency distribution provides information about the distribution pattern of quantitative data.,True/False,True,Frequency distribution is a grouping of quantitative data into mutually exclusive and collectively exhaustive classes showing the number of observations in each class.,Page 27,True/False
59,"In a frequency distribution, classes cannot overlap.",True/False,True,"In a frequency distribution, classes are typically non-overlapping. Each observation belongs to one and only one class.",Page 27,True/False
60,Frequency distributions do not provide any information about the total number of observations.,True/False,False,Frequency distributions do provide information about the total number of observations by summing up the frequencies of all the classes.,Page 27,True/False
61,Relative frequency distributions provide information about the frequency of each class.,True/False,True,Relative frequency distributions indeed show the proportion of the total number of observations in each class.,Page 31,True/False
62,Converting class frequencies to relative class frequencies helps to standardize the distribution of data.,True/False,True,Converting class frequencies to relative class frequencies helps to standardize the distribution of data by expressing the frequencies as proportions relative to the total number of observations.,Page 31,True/False
63,Relative frequency distributions show the percentage of observations in each class.,True/False,False,"Relative frequency distributions show the proportion or fraction of the total number of observations in each class, not the percentage",Page 31,True/False
64,Relative frequency distributions are useful for understanding the distribution pattern of data.,True/False,True,"Relative frequency distributions provide insights into the proportion of observations in each class relative to the total number of observations, aiding in understanding the distributional characteristics of the data.",Page 31,True/False
65,Class frequencies are represented by the heights of bars in a histogram.,True/False,True,The class frequencies are represented by the heights of the histogram bars.,Page 34,True/False
66,Quantitative data are usually measured using scales that are continuous.,True/False,True,"Quantitative data are usually measured using scales that are continuous, not discrete.",Page 34,True/False
67,A frequency polygon does not provide any information about the shape of a distribution,True/False,False,A frequency polygon also shows the shape of a distribution and is similar to a histogram,Page 36,True/False
68,A frequency polygon is used exclusively for qualitative data.,True/False,False,A frequency polygon can be used for both qualitative and quantitative data.,Page 36,True/False
69,A frequency polygon is constructed using bars instead of line segments.,True/False,False,Line segments in a frequency polygon connect the points formed by the intersections of the class midpoints and the class frequencies.,Page 36,True/False
70,Measures of location are only referred to as averages.,True/False,False,"While measures of location are often referred to as averages, they encompass various statistics like the mean, median, and mode, not just the arithmetic mean",Page 54,True/False
71,The purpose of a measure of location is to identify the variability in a distribution of data.,True/False,False,"The purpose of a measure of location is to pinpoint the center or typical value of a distribution of data, not to identify variability.",Page 54,True/False
72,An average is a measure of location that shows the spread of the data,True/False,False,"An average, such as the mean, median, or mode, is a measure of location that indicates the central tendency or typical value of the data, not the spread or variability.",Page 54,True/False
73,Measures of location provide information about the center of a distribution of data.,True/False,True,"Measures of location, such as the mean, median, and mode, provide information about the central tendency or center of a distribution of data. They help identify where the bulk of the data lies or what value is typical or representative of the dataset.",Page 54,True/False
74,Dispersion in data is often referred to as the variation or spread.,True/False,True,"Dispersion in data, which refers to the extent to which data points deviate from the central tendency, is commonly referred to as variation or spread.",Page 54,True/False
75,Measures of location are not useful for comparing different datasets.,True/False,False,"Measures of location, such as the mean, median, and mode, are useful for comparing different datasets as they provide insights into the central tendency or typical value of each dataset.",Page 54,True/False
76,Considering dispersion in addition to measures of location helps provide a more complete understanding of the data.,True/False,True,"While measures of location give insight into the central tendency or typical value of the data, measures of dispersion provide information about the spread or variability of the data points around the central value. Together, they offer a more complete picture of the dataset's characteristics.",Page 54,True/False
77,"Describing the dispersion of data involves considering the range, variance, and standard deviation.",True/False,True,"To describe the dispersion, we will consider the range, the variance, and the standard deviation.",Page 54,True/False
78,A parameter is any measurable characteristic of a sample.,True/False,False,parameter is a characteristic of a population.,Page 55,True/False
79,"The arithmetic mean, median, mode, weighted mean, and geometric mean are all measures of location.",True/False,True,"The arithmetic mean, the median, the mode, the weighted mean, and the geometric mean are measures of dispersion",Page 54,True/False
80,The population mean is calculated by dividing the sum of all values in the population by the number of values in the population.,True/False,True,the population mean is the sum of all the values in the population divided by the number of values in the population.,Page 55,True/False
81,"Measures of location are only relevant for grouped data, not raw data.",True/False,False,"Measures of location, such as the arithmetic mean, median, mode, etc., are relevant for both raw data (individual observations) and grouped data (data organized into frequency distributions). They can be calculated and interpreted for both types of data.",Page 55,True/False
82,The weighted mean is not considered a measure of location.,True/False,False,"The weighted mean is indeed considered a measure of location. It is a measure of central tendency similar to the arithmetic mean, but it assigns different weights to different data points based on their importance or frequency",Page 54,True/False
83,The mean of a population is an example of a parameter.,True/False,True,"Parameters are characteristics of a population, and the population mean is one such parameter that describes the central tendency of the entire population.",Page 55,True/False
84,The mean of a sample and the mean of a population are computed using different formulas.,True/False,False,"The mean of a sample and the mean of a population are computed using the same formula, which is the sum of all the values divided by the number of values.",Page 56,True/False
85,The mean of a sample is called a parameter.,True/False,False,"The mean of a sample, or any other measure based on sample data, is called a statistic.",Page 56,True/False
86,The mean of a sample is always equal to the mean of the population.,True/False,False,The mean of a sample is always equal to the mean of the population.,Page 56,True/False
87,A statistic is a characteristic of a sample.,True/False,True,statistic is a characteristic of a sample.,Page 56,True/False
88,Statistics are computed only for population data.,True/False,False,Statistics are computed for samples,Page 56,True/False
89,The arithmetic mean can be computed for data measured at the nominal level.,True/False,False,The arithmetic mean cannot be computed for data measured at the nominal level because nominal data consists of categories or labels with no inherent numerical value.,Page 57,True/False
90,The sum of the deviations of each value from the mean is always positive.,True/False,False,"Some deviations will be positive, indicating values above the mean, while others will be negative, indicating values below the mean. In fact, the sum of the deviations from the mean is always zero.",Page 57,True/False
91,The mean may not be an appropriate average if extreme values exist in the dataset.,True/False,True,"If one or two of these values are either extremely large or extremely small compared to the majority of data, the mean might not be an appropriate average to represent the data.",Page 58,True/False
92,The mean is the only measure of location that can be used for interval or ratio-level data.,True/False,False,"While the arithmetic mean is commonly used for interval or ratio-level data, other measures of location, such as the median and the mode, can also be used for such data types",Page 57,True/False
93,The mean of a set of data is always equal to one of the data values.,True/False,False,The mean of a set of data is not always equal to one of the data values,Page 57,True/False
94,All values must be included in computing the mean.,True/False,True,. The mean is calculated by summing up all the values in the dataset and then dividing by the total number of values.,Page 57,True/False
95,The arithmetic mean is always representative for data containing one or two very large or very small values.,True/False,False,The arithmetic mean is not always representative for data containing one or two very large or very small values.,Page 55,True/False
96,The median is the midpoint of the values in a dataset after they have been arranged from the maximum to the minimum values.,True/False,False,Median is the midpoint of the values after they have been ordered from the minimum to the maximum values.,Page 58,True/False
97,The median can be computed for data measured at the nominal level.,True/False,False,"The median cannot be computed for data measured at the nominal level. The median requires at least ordinal-level data, which can be ordered or ranked, while nominal-level data consist of categories without a natural order.",Page 58,True/False
98,"Ordinal-level data can be ranked from high to low, but not from low to high.",True/False,False,"Ordinal-level data can be ranked both from high to low and from low to high. Ordinal data have a meaningful order, so they can be arranged in any sequence that reflects their ranking",Page 61,True/False
99,The median is always equal to one of the data values in the dataset.,True/False,False,"If the dataset has an odd number of observations, the median will be one of the data values. However, if the dataset has an even number of observations, the median will be the average of the two middle values, which may not necessarily be a data value from the dataset.",Page 60,True/False
100,The median is a measure of location that is highly sensitive to extreme values.,True/False,False,"The median is a measure of location that is not highly sensitive to extreme values. It represents the midpoint of a dataset and is therefore robust to outliers or extremely large or small values, making it a valuable measure of central tendency in such cases.",Page 60,True/False
101,The median is a more appropriate measure of location than the arithmetic mean for skewed datasets with extreme values.,True/False,True,"The median is not affected by outliers and extreme values, making it a better representation of the central tendency in such cases.",Page 60,True/False
102,The mode is a measure of location.,True/False,True,The mode is another measure of location.,Page 61,True/False
103,The mode is the value of the observation that appears most frequently.,True/False,True,Mode is the value of the observation that appears most frequently.,Page 61,True/False
104,The mode is especially useful in summarizing ordinal-level data.,True/False,False,"The mode is especially useful in summarizing nominal-level data, not ordinal-level data.",Page 61,True/False
105,The mode can only be determined for nominal-level data.,True/False,False,"We can determine the mode for all levels of data—nominal, ordinal, interval, and ratio.",Page 61,True/False
106,The mode is used more frequently than the mean or median.,True/False,False,"The mode is used less frequently than the mean or median. The mean and median are generally preferred because they provide more information about the central tendency of a dataset, especially for numerical data.",Page 61,True/False
107,The mode is affected by extremely high or low values.,True/False,False,"The mode is not affected by extremely high or low values. It is solely determined by the value that appears most frequently in the dataset, regardless of the presence of extreme values.",Page 61,True/False
108,There is always a mode in any set of data.,True/False,False,"A dataset may have one mode (unimodal), more than one mode (multimodal), or no mode at all (no repeated values).",Page 61,True/False
109,"For many sets of data, there is no mode because no value appears more than once.",True/False,True,"A dataset may have one mode (unimodal), more than one mode (multimodal), or no mode at all (no repeated values).",Page 61,True/False
110,A symmetrical distribution has the same shape on both sides of its center.,True/False,True,A distribution is symmetrical because the shape of the curve is the same on either side of the distribution’s center.,Page 65,True/False
111,"In a symmetrical distribution, all three measures of location are usually at the center of the distribution.",True/False,True,"In a symmetrical distribution, such as a normal distribution, all three measures of location (mean, median, and mode) are typically located at the center of the distribution.",Page 65,True/False
112,"In a symmetrical distribution, the mean is typically reported as the distribution's location.",True/False,True,"In a symmetrical distribution, the mean is typically reported as the distribution's location because it represents the arithmetic average of all values and is centered in the distribution.",Page 65,True/False
113,The mean is the only measure of location that can be reported for a symmetrical distribution.,True/False,False,"While the mean is often reported for a symmetrical distribution, both the median and mode can also be reported.",Page 65,True/False
114,"In a symmetrical distribution, the mode is always equal to the mean.",True/False,False,"In a symmetrical distribution, the mode is not always equal to the mean. While in a perfectly symmetrical distribution, the mode, median, and mean are all equal,",Page 65,True/False
115,The weighted mean is not affected by the values of the observations.,True/False,False,The weighted mean is affected by the values of the observations because it takes into account both the values and their corresponding weights.,Page 68,True/False
116,The weighted mean is primarily used when there are few observations of the same value.,True/False,False,"The weighted mean is primarily used when different observations have different degrees of importance or significance, regardless of whether there are few or many observations of the same value.",Page 68,True/False
117,The weighted mean is useful when different observations have different degrees of importance,True/False,True,"The weighted mean is primarily used when different observations have different degrees of importance or significance, regardless of whether there are few or many observations of the same value.",Page 68,True/False
118,The weighted mean is a convenient way to compute the median.,True/False,False,"The weighted mean is a method of calculating the mean, which takes into account both the values of the observations and their corresponding weights.",Page 68,True/False
119,Studying dispersion is primarily useful for comparing the central tendency in two or more distributions.,True/False,True,A reason to study dispersion is to compare the spread in two or more distributions.,Page 69,True/False
120,The range is a measure of central tendency in a dataset.,True/False,False,Range is a measure of dispersion,Page 70,True/False
121,The range is calculated by subtracting the minimum value from the maximum value in a data set.,True/False,True,Range is the difference between the maximum and minimum values in a data set.,Page 70,True/False
122,The range is the most complex measure of dispersion.,True/False,False,"The range is not the most complex measure of dispersion. In fact, it is one of the simplest",Page 70,True/False
123,The range is suitable for comparing the spread between two or more distributions.,True/False,True,The range is suitable for comparing the spread between two or more distributions because it provides a simple and straightforward measure of the variability in the data.,Page 70,True/False
124,Sometimes the range is interpreted as a single value rather than an interval.,True/False,True,"Sometimes, especially in informal contexts or when discussing a dataset with few values, the range may be interpreted as a single value rather than an interval. In such cases, it represents the total spread of the data without explicitly considering the interval between the minimum and maximum values.",Page 70,True/False
125,The range is not affected by outliers or extreme values in the dataset.,True/False,False,The range is affected by outliers or extreme values in the dataset because it is calculated based on the difference between the maximum and minimum values.,Page 70,True/False
126,The variance is a measure of how much the values in a population or sample vary from their mean.,True/False,True,"Variance measures the mean amount by which the values in a population, or sample, vary from their mean.",Page 70,True/False
127,The variance is calculated as the arithmetic mean of the squared deviations from the median.,True/False,False,The variance is calculated as the arithmetic mean of the squared deviations from the mean,Page 70,True/False
128,The variance takes into consideration all of the values in the dataset.,True/False,True,The variance has an important advantage over the range. It uses all the values in the computation.,Page 72,True/False
129,The variance is a more limited measure of dispersion compared to the range.,True/False,False,The variance is a more comprehensive measure of dispersion because it considers all values in the dataset,Page 72,True/False
130,The variance is less affected by extreme values compared to the range.,True/False,True,"Variance considers the squared deviations from the mean, which gives more weight to values that are closer to the mean and reduces the influence of extreme values.",Page 71,True/False
131,The variance is a measure of central tendency in a population.,True/False,False,Variance is a measure of dispersion or variability that quantifies how much the values in a population vary from their mean.,Page 74,True/False
132,The population variance is the mean of the squared differences between each value and the mean.,True/False,True,Population variance is the mean of the squared difference between each value and the mean.,Page 74,True/False
133,Squaring the differences between each observation and the mean always results in nonnegative values.,True/False,True,"Squaring any real number (positive, negative, or zero) always results in a non-negative value. Squaring the differences will always result in nonnegative values.",Page 74,True/False
134,The population variance can be calculated without knowing the mean of the population.,True/False,False,The calculation of the variance involves computing the squared differences between each observation and the mean of the population.,Page 74,True/False
135,The population standard deviation is the square root of the population variance.,True/False,True,The square root of the population variance is the population standard deviation.,Page 75,True/False
136,The sample standard deviation is used as an estimator of the population variance.,True/False,False,The sample standard deviation is used as an estimator of the population standard deviation,Page 77,True/False
137,The sample standard deviation is the square root of the population variance.,True/False,False,The sample standard deviation is the square root of the sample variance.,Page 77,True/False
138,The sample standard deviation can be calculated without knowing the sample mean.,True/False,False,The sample standard deviation cannot be accurately calculated without knowing the sample mean,Page 77,True/False
139,The population standard deviation provides a measure of dispersion in a sample.,True/False,False,"The population standard deviation provides a measure of dispersion in a population, not in a sample",Page 76,True/False
140,The population standard deviation is used to estimate the variability in a population.,True/False,True,"The population standard deviation provides a measure of dispersion in a population, not in a sample",Page 76,True/False
141,The population standard deviation is always equal to the sample standard deviation.,True/False,False,"The population standard deviation is not always equal to the sample standard deviation. While they may be close in value, especially for large sample sizes, they are typically not exactly equal.",Page 77,True/False
142,Chebyshev's theorem is a rule of thumb rather than a precise mathematical law,True/False,False,"Chebyshev's theorem is a precise mathematical law, not merely a rule of thumb. It provides a quantitative statement about the minimum proportion of values that lie within a specified number of standard deviations from the mean in any distribution, regardless of its shape.",Page 79,True/False
143,Chebyshev's theorem applies regardless of the shape of the distribution.,True/False,True,Chebyshev's theorem applies regardless of the shape of the distribution. It provides a general and powerful result about the proportion of values that lie within a certain number of standard deviations from the mean in any distribution.,Page 79,True/False
144,Chebyshev's theorem applies only to normally distributed data.,True/False,False,"Chebyshev's theorem applies to any distribution, regardless of whether it is normally distributed or not.",Page 79,True/False
145,"Chebyshev's theorem applies to any set of values, regardless of the shape of the distribution.",True/False,True,"Chebyshev’s theorem applies to any set of values; that is, the distribution of values can have any shape.",Page 79,True/False
146,"The Empirical Rule, also known as the Normal Rule, applies only to normally distributed data.",True/False,False,"For a symmetrical, bell-shaped distribution .we can be more precise in explaining the dispersion about the mean. These relationships involving the standard deviation and the mean are described by the Empirical Rule, sometimes called the Normal Rule.",Page 79,True/False
147,"The Empirical Rule states that about 95% of the observations will lie within plus and minus three standard deviations of the mean for a symmetrical, bell-shaped distribution.",True/False,False,"The Empirical Rule states that about 99.7% of the observations will lie within plus and minus three standard deviations of the mean for a symmetrical, bell-shaped distribution",Page 80,True/False
148,The Empirical Rule is a guideline based on empirical observations rather than a precise mathematical theorem.,True/False,True,"The Empirical Rule,  is a guideline based on empirical observations rather than a precise mathematical theorem.",Page 80,True/False
149,Quartiles divide a data set into four intervals.,True/False,True,QuartilesValues of an ordered (minimum to maximum) data set that divide the data into four intervals.,Page 93,True/False
150,Deciles divide a data set into 12 equal parts.,True/False,False,Deciles Values of an ordered (minimum to maximum) data set that divide the data into 10 equal parts.,Page 93,True/False
151,Percentiles divide a data set into 100 intervals.,True/False,False,"Percentiles divide a data set into 100 equal parts, not intervals.",Page 93,True/False
152,"Quartiles, deciles, and percentiles are all measures of central tendency.",True/False,False,"Quartiles, deciles, and percentiles are measures of data dispersion or distribution.",Page 93,True/False
153,The interquartile range measures the spread or dispersion of data.,True/False,True,The interquartile range (IQR) measures the spread or dispersion of data within a dataset.,Page 98,True/False
154,The interquartile range is the absolute numerical difference between the first and second quartiles.,True/False,False,The interquartile range (IQR) is the absolute numerical difference between the first and third quartiles,Page 98,True/False
155,The interquartile range represents the middle 50% of a distribution's values.,True/False,True,The interquartile range (IQR) is the absolute numerical difference between the first and third quartiles. Fifty percent of a distribution’s values occur in this range.,Page 98,True/False
156,Outliers can have a significant impact on summary statistics like the mean and standard deviation.,True/False,True,"Outliers, due to their extreme values, can significantly influence summary statistics such as the mean and standard deviation.",Page 99,True/False
157,An observation is classified as an outlier if it is within 1.5 times the interquartile range above the third quartile or below the first quartile.,True/False,False,An observation is classified as an outlier if it is located outside the range of 1.5 times the interquartile range (IQR) above the third quartile Q3 or below the first quartile Q1,Page 99,True/False
158,Outliers are typically defined based on their distance from the median.,True/False,False,"Outliers are typically defined based on their distance from the quartiles, specifically the interquartile range (IQR).",Page 99,True/False
159,Skewness in a distribution refers to the spread of data around the mean.,True/False,False,Skewness in a distribution refers to the asymmetry or lack of symmetry in the distribution of data. it focuses on the shape of the distribution.,Page 101,True/False
160,A distribution is positively skewed if the mean is greater than the median.,True/False,True,"In a positively skewed distribution, the tail of the distribution extends to the right, indicating that there are some unusually high values that pull the mean towards them, making it greater than the median.",Page 101,True/False
161,Negatively skewed distributions are more common than positively skewed distributions.,True/False,False,"Positively skewed distributions are more common than negatively skewed distributions. This is because many natural phenomena tend to have a lower limit but no upper limit, leading to distributions that are skewed towards higher values.",Page 101,True/False
162,A bimodal distribution has only one peak.,True/False,False,A bimodal distribution will have two or more peaks.,Page 101,True/False
163,Scatter diagrams are used to represent the relationship between two variables measured with ordinal scales.,True/False,False,Scatter diagrams is a Graphical technique used to show the relationship between two variables measured with interval or ratio scales.,Page 106,True/False
164,Scatter diagrams are only suitable for representing categorical data.,True/False,False,Scatter diagrams is a Graphical technique used to show the relationship between two variables measured with interval or ratio scales.,Page 106,True/False
165,Scatter diagrams are primarily used for displaying the distribution of a single variable.,True/False,False,Scatter diagrams are used to show the relationship between two variables measured with interval or ratio scales.,Page 106,True/False
166,A correlation coefficient of 0 indicates no relationship between the variables.,True/False,True,"If correlation coefficient 'r' is close to 0.0, there is no relationship between the variables.",Page 107,True/False
167,"The closer the correlation coefficient is to 1, the weaker the relationship between the variables.",True/False,False,"The closer the correlation coefficient is to 1 (either positive or negative), the stronger the relationship between the variables.",Page 107,True/False
168,The correlation coefficient ranges from 0 to 1.,True/False,False,"The correlation coefficient ranges from -1 to 1, indicating the strength and direction of the linear relationship between two variables.",Page 107,True/False
169,A correlation coefficient of -1 indicates a perfectly positive relationship between the variables.,True/False,False,A correlation coefficient of -1 indicates a perfectly negative relationship between the variables.,Page 107,True/False
170,A contingency table is used to classify sample observations according to two identifiable characteristics.,True/False,True,Contigency table is  a table used to classify sample observations according to two identifiable characteristics.,Page 108,True/False
171,A contingency table is also known as a cross-tabulation.,True/False,True,A contingency table is a cross-tabulation that simultaneously summarizes two variables of interest,Page 108,True/False
172,A contingency table only summarizes one variable of interest at a time.,True/False,False,Contingency tables are used to simultaneously summarize two variables of interest.,Page 108,True/False
173,Probability describes the relative possibility of an event occurring and can take any value.,True/False,False,"Probability describes the relative possibility of an event occurring and takes a value between zero and one, inclusive.",Page 121,True/False
174,An outcome is a particular result of an experiment.,True/False,True,Outcome is aparticular result of an experiment.,Page 122,True/False
175,"Probability is a value between zero and one, inclusive.",True/False,True,"Probability describes the relative possibility of an event occurring and takes a value between zero and one, inclusive.",Page 121,True/False
176,An experiment is a process that leads to multiple possible results occurring simultaneously.,True/False,False,Experiment is a process that leads to the occurrence of one and only one of several possible results.,Page 121,True/False
177,"There are three ways to assign a probability to an event: classical, empirical, and subjective.",True/False,True,"There are three ways to assign a probability to an event: classical, empirical, and subjective.",Page 123,True/False
